"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes","change"
"KRTAP4-1",77.6533631046215,7.15022429076405,0.829607056545696,8.61880842785503,6.76544336637076e-18,1.09588101386338e-15,"KRTAP4-1","Up"
"S100A7A",3269.16075368747,6.50486311150855,0.95274371288909,6.82750568018262,8.64037072151093e-12,3.75008625908257e-10,"S100A7A","Up"
"COL11A1",3153.17539848457,6.14924205487068,0.689998036841681,8.91197036301367,5.01335372328553e-19,1.04542831319363e-16,"COL11A1","Up"
"S100A7",31419.605079212,6.00158826084497,0.870977843411605,6.89063253014205,5.55448511933942e-12,2.51295434002633e-10,"S100A7","Up"
"COL10A1",2604.85563112502,5.94135960148742,0.592846551050941,10.0217494576888,1.22318342972851e-23,1.05671398962545e-20,"COL10A1","Up"
"MMP13",2008.76006358083,5.9012737006151,0.760184163922275,7.76295269052524,8.29745703586758e-15,6.24616039604604e-13,"MMP13","Up"
"SPP1",16690.2171547642,5.3276694884153,0.592694874783107,8.98889076839905,2.49738086927589e-19,5.6634354663004e-17,"SPP1","Up"
"MMP11",11738.3280378307,5.27136764627473,0.484920057318536,10.8705910731427,1.59166321448336e-27,4.81265900619284e-24,"MMP11","Up"
"KRT75",1192.00867853978,5.19234079438702,0.917085072107048,5.66178749639591,1.49804266574548e-08,3.07437670157856e-07,"KRT75","Up"
"CST1",3025.45762943609,5.08270400645327,0.599720424754862,8.47512240146039,2.34832498162524e-17,3.3545914816256e-15,"CST1","Up"
"MMP10",1995.74624544041,5.07661417750621,0.640090775806245,7.9310847295242,2.17239932333852e-15,1.87674612019083e-13,"MMP10","Up"
"MMP3",2948.00454389307,5.04561401200877,0.535681269735114,9.41905998412778,4.55144371995914e-21,1.58792869168267e-18,"MMP3","Up"
"G2E3-AS1",98.3488760281674,4.95873398311132,0.63284077291918,7.83567398832028,4.66334407776076e-15,3.76010614483269e-13,"G2E3-AS1","Up"
"AL161431.1",3506.99441560363,4.79565477513275,0.66761075722123,7.18330962055422,6.80437640272044e-13,3.68492527457177e-11,"AL161431.1","Up"
"LINC01980",298.273649176529,4.67200577518786,0.68837419004313,6.78701474105985,1.1447751621472e-11,4.78537119623835e-10,"LINC01980","Up"
"PRAME",1474.29313007709,4.62176497975639,0.720206977075729,6.4172732656968,1.38736762423314e-10,4.62676901449222e-09,"PRAME","Up"
"CSF2",82.7037054366684,4.61499517184172,0.634286854329501,7.27588021151753,3.4416889020354e-13,1.97592152090906e-11,"CSF2","Up"
"IL36G",1367.17465809987,4.49657590070537,0.79588387900039,5.64978889427055,1.60644995877121e-08,3.25270258393161e-07,"IL36G","Up"
"CXCL5",1683.82586905753,4.46771524969651,0.681819928858145,6.55263224291298,5.65316171599559e-11,2.10163237400803e-09,"CXCL5","Up"
"IBSP",133.930189745627,4.46058302124881,0.554138886299435,8.04957589429753,8.30814263181336e-16,7.72955505776195e-14,"IBSP","Up"
"KLHDC7B",2645.34147249135,4.41513597519006,0.65067244599225,6.78549706904702,1.15687499912981e-11,4.81376748491125e-10,"KLHDC7B","Up"
"IGFL2-AS1",669.3920242018,4.33229234426109,0.697047057630322,6.21520784979586,5.12567559973594e-10,1.52193137038313e-08,"IGFL2-AS1","Up"
"LGALS7",1803.35574520634,4.28827235921633,0.8481943356404,5.05576632503519,4.2866595080435e-07,6.08994336686963e-06,"LGALS7","Up"
"ESM1",582.671839229825,4.27505080388582,0.433793184729691,9.85504372676977,6.51883136275597e-23,4.47147749971172e-20,"ESM1","Up"
"MMP12",3824.34598081881,4.20879901067279,0.509043835720069,8.26804828059499,1.36169751744573e-16,1.53440474295034e-14,"MMP12","Up"
"SPRR2G",1069.83376098284,4.20706478530073,1.07069084144436,3.92929931073794,8.51937442465567e-05,0.000582141208331838,"SPRR2G","Up"
"PADI3",1448.70565786156,4.17620002015627,0.764689230877771,5.46130356166059,4.72651047984517e-08,8.62659488182607e-07,"PADI3","Up"
"CXCL8",6665.2040237344,4.17345855707786,0.496926533729958,8.39854238764761,4.5205478469682e-17,5.98626124377352e-15,"CXCL8","Up"
"AC010275.1",53.836519957116,4.14317628339509,0.620365863405928,6.67860133478051,2.412333973315e-11,9.57649079734809e-10,"AC010275.1","Up"
"KRT14",179153.865497276,4.14236364528393,0.887210062734909,4.66897730230279,3.02702816253124e-06,3.31820815254632e-05,"KRT14","Up"
"IL24",186.262117016621,4.13237717238459,0.559653163682651,7.38381812262539,1.53813529706127e-13,9.55645567098822e-12,"IL24","Up"
"OLFM4",60943.0011320931,4.12819753754859,0.989192121236876,4.17330208047627,3.00216465536607e-05,0.000239935115320049,"OLFM4","Up"
"GABRA3",395.797309176648,4.1276945051003,0.652852723050632,6.32255079800009,2.57280404312934e-10,8.07539981841737e-09,"GABRA3","Up"
"KRT17",170812.873205743,4.09759794375177,0.64247627937382,6.37781981265586,1.79626671633938e-10,5.82967276705351e-09,"KRT17","Up"
"SPRR2F",1531.85403409704,4.06140749838614,0.920899442589775,4.41026165350318,1.03245790339437e-05,9.6104932187689e-05,"SPRR2F","Up"
"LCE3D",829.044148674806,4.04195129019953,1.07186273737265,3.77095979668735,0.0001626208733361,0.00100588744768617,"LCE3D","Up"
"SAA2",389.431482295163,4.03501943207088,0.596949910663622,6.7593936442426,1.38570435891377e-11,5.68765802701666e-10,"SAA2","Up"
